OID_,GEOID10,p65plus,pNonWhite,pHisp,pNoHS,pUnemp,MedIncome,Name,Neighborho,Temp,pTotFlood,pPublicOpen,pPrivateOpen,pROW,pCanopyLCLU,SVI_F_TOTAL,Shape_Length,Shape_Area,n65plus,nNonWhite,nNoHS,nUnemp,nMedInc,nTemp,nTotFlood,nPublicOpen,nPrivateOpen,nCanopyLCLU,nTotSVI,nHisp
11,250250701011022,4.260651629000000,39.014202169999997,3.842940685000000,1.161665053000000,0.690448792000000,152266,Leather District,27,92.374977111816406,0.038897893030794,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,3,1599.436486453874522,14350.158158560609081,0.065162907271659,0.390142021700000,0.019639660968056,0.011401906656044,0.683376776739296,0.535709154935284,0.038897893030794,0.000000000000000,0.000000000000000,0.000000000000000,0.272727272727273,0.046527750442706
12,250251011022005,9.843260188000000,91.034482760000003,14.545454550000001,23.971915750000001,4.070556309000000,43929,Mattapan,12,92.019255744086365,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,8,772.295725212429033,19149.824571244189428,0.150543979356509,0.910344827600000,0.405280590019443,0.067220195923507,0.163318404162886,0.497570724416732,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.727272727272727,0.176106615962022
13,250259813002005,2.500000000000000,12.750000000000000,25.000000000000000,9.309309309000000,4.823151125000000,115893,East Boston,8,91.291488281344485,0.197061218949369,0.027204079744669,0.162341378811967,0.003110276051453,0.039196415667004,2,4954.483849460513738,691777.216979903751053,0.038235294120346,0.127500000000000,0.157387603426106,0.079648367195989,0.508772687778722,0.419543618571039,0.197061218949369,0.027987900164029,0.177443600665840,0.039196415667004,0.181818181818182,0.302683246090136
14,250251011022004,9.843260188000000,91.034482760000003,14.545454550000001,23.971915750000001,4.070556309000000,43929,Mattapan,12,91.504248915047484,0.000000000000000,0.000000000000000,0.172102759276879,0.161052965429749,0.215185537583254,8,2629.358791532797568,315285.426353317569010,0.150543979356509,0.910344827600000,0.405280590019443,0.067220195923507,0.163318404162886,0.442354608805743,0.000000000000000,0.000000000000000,0.188113058507327,0.215185537583254,0.727272727272727,0.176106615962022
15,250259811004006,9.247311828000001,64.946236560000003,33.763440860000003,13.029315960000000,30.538922159999998,42813,Mattapan,12,90.142512221563436,0.118672547784079,0.311118242761375,0.000000000000000,0.000000000000000,0.484548208875423,6,1301.544693153342223,112211.829540894308593,0.141429475026454,0.649462365600000,0.220279802202231,0.504312475999683,0.157961184156838,0.296356912349051,0.118672547784079,0.320082369973203,0.000000000000000,0.484548208875423,0.545454545454545,0.408785115147086
16,250259811003058,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,Jamaica Plain,11,89.353852844238276,0.000000000000000,0.364854802680566,0.000000000000000,0.000000000000000,0.470588235294118,6,576.058817741237249,10750.929666528469170,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.211801320266244,0.000000000000000,0.375367220197604,0.000000000000000,0.470588235294118,0.545454545454545,0.000000000000000
17,250259811003081,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,Jamaica Plain,11,88.938438935713336,0.000000000000000,0.346919831223629,0.000000000000000,0.000000000000000,0.594282341035588,6,1325.153108401278587,94843.582702858679113,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.167262993575827,0.000000000000000,0.356915495482313,0.000000000000000,0.594282341035588,0.545454545454545,0.000000000000000
18,250259811003008,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,Jamaica Plain,11,90.581890869140622,0.000000000000000,0.478476821192053,0.000000000000000,0.000000000000000,0.119166666666667,6,256.453542190240626,4831.437503390765414,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.343464602642980,0.000000000000000,0.492262985111622,0.000000000000000,0.119166666666667,0.545454545454545,0.000000000000000
19,250259812011033,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,Dorchester,6,91.955545359644390,0.235955056179775,0.382722799343904,0.116304496378297,0.463577969113024,0.019406860735274,-999,1129.191217369467950,29271.725362470493565,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.490740057802982,0.235955056179775,0.393750040400986,0.127124019532295,0.019406860735274,0.000000000000000,0.000000000000000
20,250259812021026,0.000000000000000,20.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,South Boston Waterfront,29,91.565112777620726,0.693395646291969,0.000000000000000,0.139334490619706,0.000000000000000,0.014514880890134,-999,1832.815781781010628,191238.711262475495460,0.000000000000000,0.200000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.448880087465210,0.693395646291969,0.000000000000000,0.152296437873292,0.014514880890134,0.000000000000000,0.000000000000000
